Fecha,PIB
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,
1992-02-01,
1992-03-01,
1992-04-01,
1992-05-01,
1992-06-01,
1992-07-01,
1992-08-01,
1992-09-01,
1992-10-01,
1992-11-01,
1992-12-01,
1993-01-01,
1993-02-01,
1993-03-01,
1993-04-01,
1993-05-01,
1993-06-01,
1993-07-01,
1993-08-01,
1993-09-01,
1993-10-01,
1993-11-01,
1993-12-01,
1994-01-01,
1994-02-01,
1994-03-01,
1994-04-01,
1994-05-01,
1994-06-01,
1994-07-01,
1994-08-01,
1994-09-01,
1994-10-01,
1994-11-01,
1994-12-01,
1995-01-01,0.0021902734440140867
1995-02-01,0.0021902734440140867
1995-03-01,0.0021902734440140867
1995-04-01,0.001472726311209982
1995-05-01,0.001472726311209982
1995-06-01,0.001472726311209982
1995-07-01,0.0025147254023106433
1995-08-01,0.0025147254023106433
1995-09-01,0.0025147254023106433
1995-10-01,0.0019094771664285304
1995-11-01,0.0019094771664285304
1995-12-01,0.0019094771664285304
1996-01-01,0.0022975667619977713
1996-02-01,0.0022975667619977713
1996-03-01,0.0022975667619977713
1996-04-01,0.0027235220602227863
1996-05-01,0.0027235220602227863
1996-06-01,0.0027235220602227863
1996-07-01,0.0016538559222555687
1996-08-01,0.0016538559222555687
1996-09-01,0.0016538559222555687
1996-10-01,0.003307796994032053
1996-11-01,0.003307796994032053
1996-12-01,0.003307796994032053
1997-01-01,0.0029929177790692187
1997-02-01,0.0029929177790692187
1997-03-01,0.0029929177790692187
1997-04-01,0.0036796201846328223
1997-05-01,0.0036796201846328223
1997-06-01,0.0036796201846328223
1997-07-01,0.004649258760090073
1997-08-01,0.004649258760090073
1997-09-01,0.004649258760090073
1997-10-01,0.002795416580258466
1997-11-01,0.002795416580258466
1997-12-01,0.002795416580258466
1998-01-01,0.003640353106911872
1998-02-01,0.003640353106911872
1998-03-01,0.003640353106911872
1998-04-01,0.003160154449105631
1998-05-01,0.003160154449105631
1998-06-01,0.003160154449105631
1998-07-01,0.0034582036797313385
1998-08-01,0.0034582036797313385
1998-09-01,0.0034582036797313385
1998-10-01,0.003267049416485257
1998-11-01,0.003267049416485257
1998-12-01,0.003267049416485257
1999-01-01,0.0037983196926504683
1999-02-01,0.0037983196926504683
1999-03-01,0.0037983196926504683
1999-04-01,0.00450547081631895
1999-05-01,0.00450547081631895
1999-06-01,0.00450547081631895
1999-07-01,0.0036802852982704692
1999-08-01,0.0036802852982704692
1999-09-01,0.0036802852982704692
1999-10-01,0.0052236450704779
1999-11-01,0.0052236450704779
1999-12-01,0.0052236450704779
2000-01-01,0.004187063867029828
2000-02-01,0.004187063867029828
2000-03-01,0.004187063867029828
2000-04-01,0.003381926028535709
2000-05-01,0.003381926028535709
2000-06-01,0.003381926028535709
2000-07-01,0.0035495706882070857
2000-08-01,0.0035495706882070857
2000-09-01,0.0035495706882070857
2000-10-01,0.003367092044246197
2000-11-01,0.003367092044246197
2000-12-01,0.003367092044246197
2001-01-01,0.0025814497314060603
2001-02-01,0.0025814497314060603
2001-03-01,0.0025814497314060603
2001-04-01,0.003188874210156456
2001-05-01,0.003188874210156456
2001-06-01,0.003188874210156456
2001-07-01,0.0021143561715411727
2001-08-01,0.0021143561715411727
2001-09-01,0.0021143561715411727
2001-10-01,0.0015721251755360655
2001-11-01,0.0015721251755360655
2001-12-01,0.0015721251755360655
2002-01-01,0.002782919724087544
2002-02-01,0.002782919724087544
2002-03-01,0.002782919724087544
2002-04-01,0.0018618591899312402
2002-05-01,0.0018618591899312402
2002-06-01,0.0018618591899312402
2002-07-01,0.0025923297552061797
2002-08-01,0.0025923297552061797
2002-09-01,0.0025923297552061797
2002-10-01,0.003197735996908276
2002-11-01,0.003197735996908276
2002-12-01,0.003197735996908276
2003-01-01,0.0012750688721159993
2003-02-01,0.0012750688721159993
2003-03-01,0.0012750688721159993
2003-04-01,0.0024731590008162385
2003-05-01,0.0024731590008162385
2003-06-01,0.0024731590008162385
2003-07-01,0.002783312806720654
2003-08-01,0.002783312806720654
2003-09-01,0.002783312806720654
2003-10-01,0.001944614310673387
2003-11-01,0.001944614310673387
2003-12-01,0.001944614310673387
2004-01-01,0.0035209958695361365
2004-02-01,0.0035209958695361365
2004-03-01,0.0035209958695361365
2004-04-01,0.002799073817522313
2004-05-01,0.002799073817522313
2004-06-01,0.002799073817522313
2004-07-01,0.002357554199675427
2004-08-01,0.002357554199675427
2004-09-01,0.002357554199675427
2004-10-01,0.0029651307558831164
2004-11-01,0.0029651307558831164
2004-12-01,0.0029651307558831164
2005-01-01,0.0029455734174884305
2005-02-01,0.0029455734174884305
2005-03-01,0.0029455734174884305
2005-04-01,0.003176357093612007
2005-05-01,0.003176357093612007
2005-06-01,0.003176357093612007
2005-07-01,0.003274918986091002
2005-08-01,0.003274918986091002
2005-09-01,0.003274918986091002
2005-10-01,0.0038546274604260113
2005-11-01,0.0038546274604260113
2005-12-01,0.0038546274604260113
2006-01-01,0.0029868469302047154
2006-02-01,0.0029868469302047154
2006-03-01,0.0029868469302047154
2006-04-01,0.0031319524597875534
2006-05-01,0.0031319524597875534
2006-06-01,0.0031319524597875534
2006-07-01,0.0030877601856547088
2006-08-01,0.0030877601856547088
2006-09-01,0.0030877601856547088
