fila,subfila,columna,subcolumna,valor
Enero de 1995,IMPORT,Taric,,"6645389681,51"
Febrero de 1995,IMPORT,Taric,,"6965259268,01"
Marzo de 1995,IMPORT,Taric,,"8411816436,10"
Abril de 1995,IMPORT,Taric,,"6849517543,61"
Mayo de 1995,IMPORT,Taric,,"7954166966,29"
Junio de 1995,IMPORT,Taric,,"7751824831,38"
Julio de 1995,IMPORT,Taric,,"6965601397,50"
Agosto de 1995,IMPORT,Taric,,"5316716357,61"
Septiembre de 1995,IMPORT,Taric,,"7520290967,50"
Octubre de 1995,IMPORT,Taric,,"8066150303,19"
Noviembre de 1995,IMPORT,Taric,,"7796710941,06"
Diciembre de 1995,IMPORT,Taric,,"6898854856,55"
Enero de 1996,IMPORT,Taric,,"7301458867,22"
Febrero de 1996,IMPORT,Taric,,"7803490413,93"
Marzo de 1996,IMPORT,Taric,,"8024576744,29"
Abril de 1996,IMPORT,Taric,,"7870752521,12"
Mayo de 1996,IMPORT,Taric,,"8211004258,79"
Junio de 1996,IMPORT,Taric,,"7876494883,90"
Julio de 1996,IMPORT,Taric,,"8299948038,73"
Agosto de 1996,IMPORT,Taric,,"5361282318,34"
Septiembre de 1996,IMPORT,Taric,,"8029726962,81"
Octubre de 1996,IMPORT,Taric,,"9096987796,56"
Noviembre de 1996,IMPORT,Taric,,"8246752827,59"
Diciembre de 1996,IMPORT,Taric,,"8057004084,57"
Enero de 1997,IMPORT,Taric,,"8123760904,33"
Febrero de 1997,IMPORT,Taric,,"8233199204,02"
Marzo de 1997,IMPORT,Taric,,"8712933925,24"
Abril de 1997,IMPORT,Taric,,"9859701055,51"
Mayo de 1997,IMPORT,Taric,,"9027934353,54"
Junio de 1997,IMPORT,Taric,,"9248738542,27"
Julio de 1997,IMPORT,Taric,,"9592615717,14"
Agosto de 1997,IMPORT,Taric,,"6302971418,45"
Septiembre de 1997,IMPORT,Taric,,"9958014897,22"
Octubre de 1997,IMPORT,Taric,,"10954175142,15"
Noviembre de 1997,IMPORT,Taric,,"9664454291,66"
Diciembre de 1997,IMPORT,Taric,,"9790192711,36"
Enero de 1998,IMPORT,Taric,,"9105640292,09"
Febrero de 1998,IMPORT,Taric,,"9745520654,05"
Marzo de 1998,IMPORT,Taric,,"11032025856,54"
Abril de 1998,IMPORT,Taric,,"10078197879,47"
Mayo de 1998,IMPORT,Taric,,"10360702031,71"
Junio de 1998,IMPORT,Taric,,"11091336223,75"
Julio de 1998,IMPORT,Taric,,"10562094856,75"
Agosto de 1998,IMPORT,Taric,,"7234441666,80"
Septiembre de 1998,IMPORT,Taric,,"10699612610,93"
Octubre de 1998,IMPORT,Taric,,"11293932184,77"
Noviembre de 1998,IMPORT,Taric,,"10781368175,55"
Diciembre de 1998,IMPORT,Taric,,"10871237197,73"
Enero de 1999,IMPORT,Taric,,"9437363495,04"
Febrero de 1999,IMPORT,Taric,,"10390953552,13"
Marzo de 1999,IMPORT,Taric,,"12104382918,07"
Abril de 1999,IMPORT,Taric,,"11290447182,71"
Mayo de 1999,IMPORT,Taric,,"11681114096,54"
Junio de 1999,IMPORT,Taric,,"12285806796,78"
Julio de 1999,IMPORT,Taric,,"11748674024,49"
Agosto de 1999,IMPORT,Taric,,"8914581619,57"
Septiembre de 1999,IMPORT,Taric,,"12627704386,01"
Octubre de 1999,IMPORT,Taric,,"12149564611,50"
Noviembre de 1999,IMPORT,Taric,,"13503600864,20"
Diciembre de 1999,IMPORT,Taric,,"12959512542,05"
Enero de 2000,IMPORT,Taric,,"12121244068,75"
Febrero de 2000,IMPORT,Taric,,"13131704117,30"
Marzo de 2000,IMPORT,Taric,,"14932501442,45"
